iter	RMSE
686	77194.65728
687	77189.47009
688	77185.97135
689	77180.59397
690	77175.82839
691	77169.82545
692	77165.0662
693	77157.29631
694	77149.4582
695	77142.41032
696	77141.40678
697	77138.59987
698	77132.91235
699	77126.72654
700	77121.10197
701	77113.85924
702	77109.31113
703	77100.55341
704	77094.29317
705	77090.92211
706	77082.16349
707	77081.79865
708	77077.14248
709	77069.09718
710	77063.23983
711	77059.28441
712	77051.54227
713	77046.81266
714	77041.79306
715	77034.40881
716	77028.17315
717	77023.1188
718	77015.94039
719	77012.28351
720	77006.71277
721	77000.28918
722	76993.80032
723	76984.51098
724	76981.31115
725	76976.37398
726	76970.27024
727	76966.32735
728	76961.73788
729	76954.65533
730	76945.67664
731	76940.13406
732	76935.91132
733	76931.54413
734	76926.0048
735	76921.49121
736	76915.63947
737	76908.40428
738	76900.78197
739	76892.83542
740	76886.49527
741	76883.32028
742	76878.09016
743	76871.22351
744	76871.20772
745	76867.3915
746	76862.93996
747	76855.75226
748	76851.72025
749	76848.45988
750	76841.28501
751	76834.0808
752	76834.0657
753	76824.82959
754	76821.53899
755	76814.24774
756	76808.74595
757	76808.73155
758	76802.92331
759	76799.50274
760	76787.53121
761	76782.59386
762	76775.92503
763	76770.88866
764	76766.92012
765	76759.03113
766	76753.5076
767	76751.517
768	76747.88018
769	76744.82931
770	76738.60936
771	76730.93191
772	76724.76849
773	76717.358
774	76712.3485
775	76710.05955
776	76703.49359
777	76698.11521
778	76692.66121
779	76683.79493
780	76677.26561
781	76670.61861
782	76670.60493
783	76664.70442
784	76657.88096
785	76653.44216
786	76649.01578
787	76643.09776
788	76637.94597
789	76633.93888
790	76628.04015
791	76621.03557
792	76617.12404
793	76607.13694
794	76600.22163
795	76592.28413
796	76585.37354
797	76580.182
798	76575.47544
799	76570.74541
800	76563.21007
801	76558.71202
802	76557.38008
803	76550.71742
804	76549.19499
805	76541.09469
806	76535.86851
807	76532.53228
808	76527.94234
809	76524.36288
810	76520.82595
811	76517.02407
812	76510.50131
813	76506.05425
814	76501.69627
815	76493.68937
816	76491.3413
817	76484.58726
818	76478.68019
819	76473.50448
820	76470.31366
821	76463.00453
822	76454.11284
823	76450.70937
824	76444.0836
825	76440.04307
826	76433.09907
827	76425.68838
828	76417.13682
829	76411.61757
830	76405.99506
831	76400.17961
832	76392.35043
833	76386.76453
834	76382.17684
835	76376.41842
836	76370.04321
837	76365.28142
838	76360.37062
839	76354.50863
840	76346.51624
841	76343.63007
842	76337.01336
843	76330.97306
844	76324.13261
845	76315.08787
846	76309.24207
847	76301.51231
848	76297.68867
849	76293.21733
850	76291.76569
851	76285.69231
852	76281.64341
853	76279.42556
854	76274.20328
855	76269.53732
856	76264.36443
857	76259.46345
858	76252.98349
859	76250.26238
860	76245.73996
861	76237.43377
862	76231.1462
863	76227.62584
864	76224.28167
865	76218.39234
866	76213.34137
867	76207.03557
868	76202.65613
869	76197.29802
870	76194.5724
871	76186.45184
872	76182.94964
873	76178.25717
874	76174.31901
875	76172.00401
876	76164.39168
877	76159.30608
878	76157.1712
879	76153.06154
880	76145.07881
881	76141.19839
882	76134.44301
883	76130.16799
884	76124.93462
885	76120.04059
886	76115.29716
887	76108.80521
888	76108.7934
889	76104.41807
890	76099.67209
891	76095.21743
892	76088.3248
893	76082.74991
894	76077.17645
895	76070.29813
896	76068.08683
897	76055.84505
898	76048.99773
899	76042.0389
900	76038.40232
901	76035.38557
902	76027.37232
903	76023.60193
904	76018.15804
905	76011.70656
906	76008.28867
907	76002.38453
908	75997.08619
909	75994.22545
910	75990.12508
911	75987.43034
912	75983.14333
913	75975.90325
914	75970.30744
915	75965.66442
916	75959.82625
917	75954.59156
918	75948.90558
919	75943.4112
920	75939.66413
921	75934.82786
922	75926.35905
